ID,Score,Media,Dimension,Question,Direction,Rendering
1,3,P,Office1,Content,360,Real
1,-1,P,Office1,Access,360,Real
1,0,P,Office1,Clarity,360,Real
1,1,P,Office1,Privacy,360,Real
1,2,P,Office1,Overall,360,Real
1,3,P,Office2,Content,360,Real
1,-1,P,Office2,Access,360,Real
1,-2,P,Office2,Clarity,360,Real
1,2,P,Office2,Privacy,360,Real
1,1,P,Office2,Overall,360,Real
1,3,P,Library1,Content,360,Real
1,3,P,Library1,Access,360,Real
1,3,P,Library1,Clarity,360,Real
1,1,P,Library1,Privacy,360,Real
1,2,P,Library1,Overall,360,Real
1,3,P,Library2,Content,360,Real
1,2,P,Library2,Access,360,Real
1,1,P,Library2,Clarity,360,Real
1,3,P,Library2,Privacy,360,Real
1,2,P,Library2,Overall,360,Real
1,2,I,Library1,Content,Main,Real
1,3,I,Library1,Access,Main,Real
1,2,I,Library1,Clarity,Main,Real
1,1,I,Library1,Privacy,Main,Real
1,2,I,Library1,Overall,Main,Real
1,3,I,Library1,Content,Side1,Real
1,3,I,Library1,Access,Side1,Real
1,3,I,Library1,Clarity,Side1,Real
1,1,I,Library1,Privacy,Side1,Real
1,2,I,Library1,Overall,Side1,Real
1,3,I,Library2,Content,Main,Real
1,3,I,Library2,Access,Main,Real
1,3,I,Library2,Clarity,Main,Real
1,2,I,Library2,Privacy,Main,Real
1,3,I,Library2,Overall,Main,Real
1,1,I,Library2,Content,Side2,Real
1,0,I,Library2,Access,Side2,Real
1,0,I,Library2,Clarity,Side2,Real
1,0,I,Library2,Privacy,Side2,Real
1,0,I,Library2,Overall,Side2,Real
1,3,I,Library2,Content,Side1,Real
1,3,I,Library2,Access,Side1,Real
1,2,I,Library2,Clarity,Side1,Real
1,2,I,Library2,Privacy,Side1,Real
1,3,I,Library2,Overall,Side1,Real
1,3,I,Office1,Content,Main,Real
1,2,I,Office1,Access,Main,Real
1,1,I,Office1,Clarity,Main,Real
1,2,I,Office1,Privacy,Main,Real
1,2,I,Office1,Overall,Main,Real
1,2,I,Office2,Content,Main,Real
1,1,I,Office2,Access,Main,Real
1,1,I,Office2,Clarity,Main,Real
1,2,I,Office2,Privacy,Main,Real
1,2,I,Office2,Overall,Main,Real
2,1,P,Office1,Content,360,Real
2,1,P,Office1,Access,360,Real
2,0,P,Office1,Clarity,360,Real
2,2,P,Office1,Privacy,360,Real
2,2,P,Office1,Overall,360,Real
2,1,P,Office2,Content,360,Real
